"Analytical_reasoning"|"Partisan_social_identity"|"Institutional_trust"|"Agreeableness"|"Depressive_symptoms"|"Belief_in_misinformation"
1.88348062168698|1.95962014236473|4.54632246352661|4.09262776607763|1.98243464074969|5.28143893596535
2.40644103218737|4.06181359083836|4.75854295102749|5.26217570518856|2.27153111702899|6.61471355424249
5.61671002539335|4.91869453491008|5.02584263417214|1.79672050961047|2.39687078337993|6.80191351046356
2.92463606273687|3.37172275921104|3.52586338806904|1.45090791984239|6.11156772082329|7.72848108186304
3.02983673663608|2.32327460624641|3.01888474159625|2.54339799104926|3.52516736568607|7.37608195808878
5.84647762799189|3.11443355996669|3.96192641964894|4.91340899197931|2.43810255254752|7.77137633734973
3.64114869118197|3.97295135738271|4.45081759798983|3.36634268155789|4.19363881217354|6.79148628896532
0.973617657646345|2.68682655689304|2.90165605020754|4.96856745507491|3.05112057283376|5.10221422457779
1.6982901540981|4.49730073078707|5.5122842027857|5.52854649313626|2.47318604165978|5.59069160923449
2.05914508054353|3.03455985447243|2.77666075164252|3.49849578296929|5.49646438927983|8.60428252079573
5.06209268768578|2.49348818040181|4.71768456965394|3.90605068668551|5.40246131480332|7.13542258210981
3.45212234868777|5.73687863057|2.10560751168876|3.05205008411107|3.33756118097914|7.45791770228939
3.52847721679036|1.67612881194777|2.68514768100465|2.95265674830929|3.83721121939815|7.05176623801153
2.99641607387331|3.8982034883447|6.07043765779194|5.64202489004767|4.32379293001856|4.47116606120866
1.89043756982199|3.01557328463699|3.60731007262787|1.75506607505283|2.68675621902685|7.61893268247096
3.7106129363552|3.2406324020061|3.47463161588289|4.91081230058969|1.3678831327256|7.28482700313282
0.3959002541102|3.24865654046141|2.90684488202697|1.55100618587292|2.22261904943207|6.60731945816425
4.09549389026023|2.30065772947656|4.18624839217351|5.54892904044004|3.85583086551601|7.05716371427241
2.0170222891201|2.51950439238157|3.47986098019076|3.21160557682287|2.55144756610216|6.04141858108566
1.19680565878787|2.67822303539879|4.69479552875107|4.76362867191217|2.59879999505777|4.35612054466496
2.42675033459336|4.90205929805834|3.0243282132515|4.29674832105371|3.13845287051302|6.70132894591021
1.24743263340314|4.9435354350272|3.24952951441873|6.03075857008413|3.78765084227776|6.95379978161479
